gpu_id,batch_size,half_mode,frames_per_second
3,2,none,1443.9
3,4,none,1471.9
3,8,none,1367.2
3,16,none,1236.2
3,32,none,1370.0
3,48,none,1074.8
3,64,none,1115.8
3,80,none,1023.9
3,96,none,1027.1
3,112,none,1019.0
3,128,none,1018.9
3,2,tensor,1194.5
3,4,tensor,1325.6
3,8,tensor,1288.7
3,16,tensor,1229.9
3,32,tensor,1515.5
3,48,tensor,1354.2
3,64,tensor,1322.3
3,80,tensor,1209.2
3,96,tensor,1196.1
3,112,tensor,1190.9
3,128,tensor,1225.2
3,2,autocast,1144.6
3,4,autocast,1301.8
3,8,autocast,1271.8
3,16,autocast,1206.5
3,32,autocast,1479.8
3,48,autocast,1242.8
3,64,autocast,1202.8
3,80,autocast,1174.3
3,96,autocast,1168.9
3,112,autocast,1152.2
3,128,autocast,1145.4
