gpu_id,batch_size,half_mode,frames_per_second
0,2,none,3117.4
0,4,none,3824.2
0,8,none,4002.0
0,16,none,4108.8
0,32,none,4114.0
0,48,none,4067.8
0,64,none,3988.9
0,80,none,3958.3
0,96,none,3923.0
0,112,none,3911.4
0,128,none,3892.4
0,2,tensor,2611.0
0,4,tensor,5164.8
0,8,tensor,6011.2
0,16,tensor,6710.2
0,32,tensor,6874.4
0,48,tensor,6988.1
0,64,tensor,7028.8
0,80,tensor,7037.8
0,96,tensor,7004.1
0,112,tensor,6969.2
0,128,tensor,6967.0
0,2,autocast,1676.9
0,4,autocast,3378.9
0,8,autocast,5376.1
0,16,autocast,6007.4
0,32,autocast,6225.4
0,48,autocast,6308.9
0,64,autocast,6341.7
0,80,autocast,6344.6
0,96,autocast,6334.0
0,112,autocast,6324.6
0,128,autocast,6308.6
