occupancy,throughput
0.105414,9774.939824
0.108460,9729.523131
0.095196,9724.576656
0.082520,9738.160321
0.079316,9715.255595
0.085123,9801.244435
0.109351,9766.994662
0.073553,9803.985001
0.070248,9752.263260
0.095703,9761.285795
0.093431,9734.705930
0.105986,9745.731931
0.105297,9740.886544
0.076257,9773.332955
0.094634,9733.519599
0.090265,9761.369707
0.094418,9728.818913
0.093737,9745.255154
0.085024,9740.930219
0.089499,9744.339707
0.087157,9731.572096
0.081104,9778.499411
0.096975,9747.618589
0.099198,9759.279572
0.115696,9718.673555
0.099046,9729.320608
0.115152,9705.257154
0.102578,9733.428647
0.117599,9693.597025
0.118765,9710.834651
0.122449,9686.250763
0.127995,9717.306082
0.110569,9714.079687
0.110221,9717.640312
0.107530,9698.933455
0.108755,9670.869318
0.095247,9703.501724
0.152324,9689.428624
0.163516,9675.194056
0.148562,9685.560245
0.122000,9677.553618
0.121414,9693.925922
0.124319,9617.896399
0.107669,9718.671690
0.118029,9686.036785
0.128951,9714.372254
0.109463,9673.172525
0.114696,9708.607784
0.103994,9678.113665
0.095100,9719.829782
0.092687,9706.589276
0.100335,9710.547981
0.093160,9716.207097
0.094230,9734.436784
0.095914,9585.349309
0.132509,9683.759385
0.105789,9679.749360
0.101889,9706.555314
0.092098,9661.729369
0.091227,9710.962932
0.085896,9691.778205
0.098294,9720.292727
0.095674,9664.222421
0.075757,9694.401443
0.115403,9665.644126
0.099018,9696.886965
0.083803,9685.188731
0.103514,9695.123287
0.103605,9511.725141
0.092040,9703.729566
0.084824,9685.126831
0.070830,9716.943504
0.085480,9697.039294
0.087557,9714.349516
0.105579,9676.581598
0.085794,9696.059566
0.100272,9670.880607
0.079972,9696.631199
0.090393,9676.736979
0.094439,9667.307396
0.102742,9670.538291
0.087538,9681.288164
0.085433,9691.368664
0.083265,9713.185166
0.090971,9692.174623
0.103249,9671.686856
0.131117,9611.351540
0.112900,9672.985420
0.099303,9658.968859
0.100813,9686.537860
0.089339,9654.337984
0.093923,9690.153484
0.071802,9706.415905
0.090088,9684.023870
0.096386,9667.137270
0.085983,9647.266991
0.159878,9605.293516
0.168135,9473.324817
0.176988,9591.089675
0.176996,9615.153431
0.176204,9581.119267
0.161936,9548.836543
0.184957,9597.140818
0.167268,9614.027530
0.166567,9585.985163
0.175447,9603.734513
0.155088,9584.219317
0.154834,9625.698921
0.181821,9593.307111
0.160926,9617.783495
0.178030,9589.053458
0.193440,9602.530092
0.156658,9578.338611
0.178489,9610.812049
0.165304,9584.548218
0.157224,9602.120756
0.164707,9587.880346
0.180897,9591.093342
0.170845,9584.228501
0.159318,9599.375820
0.083843,9646.794231
0.095550,9655.577817
0.082439,9572.826027
0.081903,9644.484966
0.075135,9650.698752
0.099135,9635.903533
0.103210,9608.178464
0.082617,9641.643269
0.084939,9637.246307
0.099005,9634.468274
0.087959,9636.092936
0.075812,9639.226819
0.074768,9625.026265
0.061299,9659.773158
0.057913,9649.869904
0.070273,9647.337713
0.084310,9606.138691
0.076125,9663.818928
0.075680,9637.532361
0.086790,9630.500777
0.073393,9622.129358
0.086511,9610.217225
0.079489,9611.124334
0.068548,9556.885448
0.070442,9665.541388
0.068448,9624.772516
0.062143,9635.559995
0.048980,9688.054333
0.073889,9611.758029
0.070737,9623.973979
0.066924,9612.297564
0.079243,9594.822159
0.070327,9609.971619
0.065389,9629.404619
0.070983,9598.647872
0.066768,9661.856300
0.064129,9398.028081
0.068161,9693.995461
0.083946,9625.250478
0.074195,9621.318335
0.060795,9637.625294
0.062371,9639.067067
0.078883,9611.227742
0.072612,9606.675739
0.058377,9647.976242
0.065858,9639.511163
0.063094,9609.304826
0.053979,9693.206189
0.073840,9597.579295
0.069716,9626.366057
0.055068,9666.546684
0.058136,9627.168588
0.077582,9607.794431
0.064609,9530.900515
0.067453,9610.067674
0.064989,9614.561789
0.061705,9579.010151
0.054571,9649.529136
0.069188,9611.203722
0.056859,9627.615346
0.059156,9657.668475
0.058224,9596.567961
0.053674,9630.931133
0.066345,9608.580957
0.081165,9549.768520
0.069843,9594.643601
0.079036,9593.677068
0.076125,9397.996304
0.070984,9603.216201
0.055991,9654.934629
0.056817,9637.181310
0.066341,9610.547914
0.055183,9637.021570
0.065411,9625.587731
0.050538,9616.686551
0.050717,9637.907647
0.052681,9644.927773
0.059413,9620.853687
0.056625,9607.196274
0.053414,9668.578554
0.055325,9617.515234
0.053298,9628.128870
0.058826,9508.816416
0.062394,9600.946293
0.058352,9607.932913
0.051151,9596.078044
0.054884,9615.750747
0.056221,9623.805389
0.056472,9609.770272
0.053917,9631.337421
0.044518,9597.354475
0.079116,9599.637522
0.049312,9624.433373
0.071952,9559.995483
0.076781,9375.953442
0.062147,9601.881038
0.165097,9529.085902
0.168935,9536.082873
0.166626,9529.530862
0.166055,9507.346406
0.157081,9531.278405
0.151044,9551.893893
0.179282,9512.729451
0.159828,9541.666048
0.170555,9512.041744
0.157181,9542.793321
0.156084,9529.116752
0.155867,9538.504271
0.166630,9501.700441
0.187139,9523.047679
0.158457,9501.788903
0.195745,9520.021439
0.176962,9506.464322
0.183717,9522.227871
0.169961,9478.414286
0.176534,9533.611875
0.165612,9513.580154
0.156800,9519.242080
0.158483,9498.996396
0.171216,9528.686396
0.115161,9520.200878
0.112880,9339.523811
0.113507,9527.834808
0.102234,9516.576929
0.100558,9521.359349
0.099365,9561.803571
0.100849,9530.193836
0.108958,9544.902829
0.109708,9516.140410
0.115778,9540.495339
0.109891,9516.654817
0.107530,9550.675126
0.108045,9521.034777
0.111774,9534.602661
0.094920,9522.354866
0.103208,9537.388908
0.093721,9521.558771
0.115305,9529.628882
0.123019,9500.705647
0.105856,9542.459979
0.117399,9505.754106
0.131238,9537.059670
0.108361,9513.933190
0.108797,9487.988289
0.100727,9514.391176
0.112024,9535.690049
0.113143,9502.578062
0.084318,9553.815762
0.083107,9537.283416
0.092397,9512.685957
0.089255,9487.664191
0.090050,9540.824875
0.083243,9506.592674
0.099855,9335.370135
0.092390,9512.606347
0.099085,9520.510867
0.089506,9526.529577
0.095699,9532.395928
0.118914,9503.251724
0.100025,9540.821247
0.077865,9529.567216
0.077375,9548.734446
0.085624,9522.639545
0.116051,9520.396631
0.135428,9501.964076
0.121723,9497.033328
0.103086,9513.516787
0.082907,9528.581062
0.126013,9484.676674
0.098571,9527.235664
0.100677,9495.251444
0.111665,9516.810585
0.127870,9474.613757
0.107185,9488.730119
0.114785,9486.319608
0.124754,9499.027051
0.120056,9477.176428
0.087181,9521.121795
0.108030,9484.441028
0.096226,9285.406230
0.110178,9496.818650
0.090462,9516.343284
0.122456,9482.208842
0.101525,9512.157546
0.104207,9483.275273
0.116266,9488.897619
0.138728,9472.624892
0.134121,9480.635658
0.119287,9473.299710
0.107269,9505.510053
0.128501,9470.597401
0.115284,9483.311302
0.116640,9480.062242
0.129799,9481.340391
0.132794,9479.154572
0.121525,9483.482182
0.135589,9471.765361
0.122410,9484.068571
0.114277,9479.992109
0.102008,9403.291609
0.141972,9460.600104
0.149270,9477.582388
0.110962,9409.465678
0.113690,9490.241241
0.126613,9458.833618
0.125145,9492.246474
0.139707,9453.902830
0.130117,9230.252375
0.127527,9452.380157
0.132606,9480.040628
0.120919,9452.571327
0.163971,9473.615613
0.124939,9448.213027
0.122192,9489.306415
0.113936,9463.373722
0.115923,9494.506781
0.110154,9456.575976
0.124986,9486.389801
0.126401,9447.099063
0.117172,9493.246701
0.151002,9446.074577
0.130159,9463.719412
0.125824,9467.912743
0.106154,9480.641016
0.107862,9456.810227
0.111949,9486.231420
0.128969,9448.227273
0.132717,9473.533044
0.129715,9443.175564
0.141855,9458.066017
0.115339,9448.591486
0.117824,9430.835852
0.145595,9427.896389
0.125543,9459.996858
0.126951,9385.376149
0.110665,9472.630247
0.108066,9451.867283
0.112297,9282.017435
0.122982,9445.339402
0.111922,9464.597191
0.104934,9449.482555
0.119580,9453.489960
0.128441,9420.244273
0.126248,9458.450692
0.096812,9444.729241
0.099230,9480.180869
0.104240,9435.892156
0.110593,9468.052613
0.102251,9453.098531
0.105905,9462.336778
0.133853,9426.071035
0.106201,9470.026996
0.108053,9440.748907
0.104325,9460.934834
0.118850,9442.957986
0.132437,9438.594227
0.109474,9452.805432
0.104207,9375.920019
0.097488,9428.193251
0.101932,9459.740901
0.095274,9418.047519
0.128179,9424.926791
0.110012,9409.352350
0.097743,9434.756185
0.136323,9226.420044
0.143331,9391.974824
0.139146,9405.822930
0.133679,9420.270885
0.122597,9410.021791
0.137066,9421.561373
0.136129,9397.501744
0.148787,9421.550738
0.151826,9370.762646
0.148296,9440.829145
0.129598,9396.510972
0.126613,9408.429981
0.142710,9391.491491
0.151333,9401.663114
0.135415,9381.401629
0.141178,9417.910960
0.155103,9376.814996
0.145042,9401.618951
0.136656,9373.482050
0.145333,9395.686409
0.150855,9371.906065
0.134117,9408.194527
0.151002,9387.383148
0.152213,9406.346686
0.119369,9413.095425
0.124140,9380.192532
0.119388,9389.447468
0.129655,9219.001297
0.111427,9395.479828
0.114575,9385.578723
0.119532,9403.194286
0.112422,9411.486591
0.106818,9411.183667
0.118967,9400.735134
0.102427,9399.999936
0.112777,9427.050293
0.102662,9413.393124
0.143770,9389.817759
0.150859,9377.435781
0.115390,9408.699058
0.120721,9383.088209
0.120637,9390.986977
0.127032,9372.341728
0.123451,9400.567242
0.122198,9375.927041
0.121200,9402.861923
0.128762,9378.477044
0.119483,9403.381785
0.081825,9395.137349
0.088829,9419.236266
0.060714,9426.721445
0.069230,9375.009399
0.070935,9428.886671
0.082673,9428.874192
0.072020,9399.323152
0.073216,9410.992313
0.074289,9400.927764
0.074851,9422.885966
0.087232,9404.115820
0.097116,9420.405780
0.071271,9416.628581
0.066750,9442.622740
0.071846,9419.612427
0.077785,9428.330161
0.070118,9433.383797
0.092598,9400.922496
0.077095,9397.487624
0.075534,9439.772139
0.064264,9429.069824
0.064082,9443.837314
0.078532,9397.660768
0.067323,9426.661031
0.094110,9402.835389
0.112574,9379.881046
0.097127,9391.639672
0.102734,9406.801506
0.084794,9404.750815
0.113271,9389.690767
0.128240,9374.561132
0.112733,9375.941136
0.108502,9281.159344
0.108563,9385.598104
0.077888,9359.988371
0.091881,9164.448001
0.091501,9394.943129
0.094869,9400.809373
0.124044,9371.085789
0.115959,9348.191763
0.130997,9361.814489
0.105994,9379.289845
0.099795,9364.111252
0.115906,9373.782578
0.124016,9351.134115
0.123114,9367.714840
0.106206,9355.790155
0.105337,9392.274771
0.111897,9347.527575
0.118585,9356.803871
0.131901,9319.654089
0.121792,9336.266154
0.121831,9329.936995
0.130542,9349.044680
0.138800,9328.598405
0.128898,9354.435382
0.128868,9333.958602
0.123078,9347.772242
0.113819,9341.483327
0.113949,9360.845178
0.103716,9370.680114
0.114727,9359.301477
0.114671,9356.357408
0.115853,9115.162054
0.121449,9349.436291
0.116289,9352.052373
0.113545,9336.536373
0.148303,9330.286930
0.118652,9332.869643
0.120610,9354.095856
0.120790,9349.502708
0.098937,9367.423533
0.186040,9302.560924
0.189386,9324.304918
0.189329,9290.349230
0.176870,9339.867459
0.173727,9308.728288
0.180892,9333.127484
0.168503,9293.875497
0.178855,9332.688476
0.179527,9305.989115
0.175653,9318.973186
0.172042,9315.365364
0.179609,9304.016752
0.184659,9301.353067
0.199262,9310.711297
0.188841,9287.562191
0.178524,9306.801486
0.166954,9295.354506
0.181494,9316.729688
0.165363,9177.610803
0.196286,9267.074475
0.183506,9288.481845
0.181353,9323.371234
0.163414,9281.662421
0.168492,9305.854025
0.123856,9343.799857
0.095038,9342.317644
0.110214,9335.134915
0.107792,9343.274321
0.106193,9328.786359
0.114279,9359.452110
0.101613,9342.890217
0.121099,9334.969306
0.122372,9311.344127
0.119267,9341.202342
0.116769,9295.980100
0.118436,9336.126729
0.116074,9342.891940
0.100072,9353.971648
0.113028,9337.481440
0.102338,9338.927185
0.122468,9303.350256
0.107645,9333.272090
0.122904,9298.054525
0.102746,9342.685918
0.100547,9317.101205
0.140765,9308.445809
0.150464,9185.443992
0.123297,9335.303977
0.152050,9300.853035
0.157732,9302.249453
0.155734,9271.884446
0.169288,9314.829097
0.162153,9277.288069
