occupancy,throughput
0.105414,9592.845178
0.108460,9564.130082
0.095196,9587.319579
0.082520,9569.368859
0.079316,9580.140720
0.085123,9386.741660
0.109351,9552.516130
0.073553,9473.012524
0.070248,9554.670178
0.095703,9568.530108
0.093431,9576.769949
0.105986,9605.963375
0.105297,9609.112822
0.076257,9607.547111
0.094634,9601.868172
0.090265,9610.503590
0.094418,9616.381380
0.093737,9607.349566
0.085024,9611.846769
0.089499,9618.410742
0.087157,9589.218955
0.081104,9624.861400
0.096975,9606.758864
0.099198,9597.454019
0.115696,9623.522075
0.099046,9373.295859
0.115152,9588.786818
0.102578,9589.767002
0.117599,9595.514534
0.118765,9582.790209
0.122449,9606.177481
0.127995,9576.139048
0.110569,9580.375696
0.110221,9575.236735
0.107530,9570.367111
0.108755,9568.370774
0.095247,9576.124324
0.152324,9538.961019
0.163516,9574.561982
0.148562,9545.682723
0.122000,9571.277564
0.121414,9547.636786
0.124319,9591.845830
0.107669,9586.032903
0.118029,9589.798287
0.128951,9583.085909
0.109463,9560.132523
0.114696,9566.325890
0.103994,9577.857812
0.095100,9568.116251
0.092687,9558.918945
0.100335,9575.588835
0.093160,9564.913155
0.094230,9573.944149
0.095914,9557.040718
0.132509,9532.984799
0.105789,9548.322340
0.101889,9539.270455
0.092098,9513.723163
0.091227,9292.583508
0.085896,9588.944894
0.098294,9574.411674
0.095674,9578.180768
0.075757,9564.977189
0.115403,9563.910561
0.099018,9550.943293
0.083803,9557.506586
0.103514,9554.633659
0.103605,9549.761230
0.092040,9534.982742
0.084824,9558.950050
0.070830,9538.265915
0.085480,9531.859875
0.087557,9518.136711
0.105579,9547.793596
0.085794,9554.272189
0.100272,9532.988428
0.079972,9559.158375
0.090393,9520.121162
0.094439,9542.485583
0.102742,9499.267013
0.087538,9533.579181
0.085433,9521.043921
0.083265,9531.845341
0.090971,9481.293574
0.103249,9530.722466
0.131117,9496.219860
0.112900,9548.852997
0.099303,9522.465514
0.100813,9543.113897
0.089339,9500.485357
0.093923,9509.100300
0.071802,9515.253065
0.090088,9506.538423
0.096386,9483.174559
0.085983,9524.335642
0.159878,9530.008547
0.168135,9536.961470
0.176988,9532.176054
0.176996,9499.212866
0.176204,9520.052278
